标题,详情页,发布时间,up博主,图片,观看次数
不愧是你—忠武路演员【金泰梨】,https://www.bilibili.com/video/BV1eY4y1b7QQ?from=search&seid=5863496999586041683,2022-05-09,哈奔儿一个,https://i0.hdslb.com/bfs/archive/02014cfbe0d75db27868076691344b4fd1867a82.jpg@400w_250h_1c.webp,9931
“这部剧唯一的缺点就是女主的颜值？？！！”拜托！！她可是忠武路演员金泰梨诶！！！,https://www.bilibili.com/video/BV1pR4y1573K?from=search&seid=5863496999586041683,2022-03-02,每天都在吃西瓜,https://i2.hdslb.com/bfs/archive/60c4a236119a40c33941c2f5492753876af37a0c.jpg@400w_250h_1c.webp,24.0万
“我 正 爱 着 你，罗 希 度 小 朋 友。”❤双视角｜金泰梨×南柱赫｜二十五二十一,https://www.bilibili.com/video/BV1Lr4y1B72G?from=search&seid=5863496999586041683,2022-03-14,不系舟Tuffy,https://i2.hdslb.com/bfs/archive/32de19161ef9c1a9978bc2b278b4738732e81520.jpg@400w_250h_1c.webp,1.2万
笑死了(≧ω≦)/原谅我不厚道的笑了，咱们就浅浅听下泰梨的英文吧～【金泰梨】,https://www.bilibili.com/video/BV1AU4y1S7hv?from=search&seid=5863496999586041683,2022-05-05,哈奔儿一个,https://i1.hdslb.com/bfs/archive/305e5315ef473861fcc6edeec69c395750ac657f.jpg@400w_250h_1c.webp,5751
近期口碑第一！让你瞬间又哭又笑的热血浪漫！《二十五二十一》【南柱赫X金泰梨】【晚风来】,https://www.bilibili.com/video/BV1ZS4y1U7xs?from=search&seid=5863496999586041683,2022-03-26,晚风来ShesWanfeng,https://i1.hdslb.com/bfs/archive/b54efbc8a885a10da8a833ae936e13824de2c30f.jpg@400w_250h_1c.webp,9754
别人是夹竹桃 你们是夹白桃 哈哈哈哈  | 二十五二十一 白桃CP 南柱赫x金泰梨,https://www.bilibili.com/video/BV1LF411T7Jb?from=search&seid=5863496999586041683,2022-05-01,阿西你帮我取个名吧,https://i2.hdslb.com/bfs/archive/636ed1a073969c04e298d7e76f86f58afa9984fa.jpg@400w_250h_1c.webp,8942
【小姐混剪】【易燃易爆炸】【金敏喜x金泰梨】,https://www.bilibili.com/video/BV1Gt411P7jc?from=search&seid=5863496999586041683,2019-07-27,ALIanlks,https://i2.hdslb.com/bfs/archive/de849e27864080d430357dacea9831f08dca1062.jpg@400w_250h_1c.webp,6.1万
【南柱赫x金泰梨】这 对 戏外也好好磕！！！,https://www.bilibili.com/video/BV1Qm4y197R6?from=search&seid=5863496999586041683,2022-02-19,8级心动,https://i2.hdslb.com/bfs/archive/e9f3df0c0d02e60e1cc3badcc9694afd6c07e96a.jpg@400w_250h_1c.webp,7.1万
姐姐只是爱摸她的头，对她撒娇，夸她可爱罢了～～钓系温柔姐姐x聪慧直率年下【小姐｜大小金｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV1nB4y1m7jr?from=search&seid=5863496999586041683,2022-04-29,追剧上头的亚里士缺德,https://i1.hdslb.com/bfs/archive/081ab35a63be5b07be4af397e1f424d8a19acf4e.jpg@400w_250h_1c.webp,5.8万
《二十五二十一》幕后花絮：金泰梨为了这场面疯狂在大街上跌倒,https://www.bilibili.com/video/BV1Vi4y1m7hj?from=search&seid=5863496999586041683,2022-04-21,欧阳学姐oOY,https://i0.hdslb.com/bfs/archive/b70f43cfd68cf678a27eace9c1c0b09041c76fc6.jpg@400w_250h_1c.webp,4701
（第三篇）【金泰梨】和粉丝一直互怼的泰梨 哈哈哈哈~,https://www.bilibili.com/video/BV1da411Y7Ce?from=search&seid=5863496999586041683,2022-04-28,哈奔儿一个,https://i1.hdslb.com/bfs/archive/891c0f7ab4a70bfc842ce7456eeffb744319af66.jpg@400w_250h_1c.webp,1.0万
【金泰梨】哈哈哈哈，被这个女人笑si（＞ｙ＜）,https://www.bilibili.com/video/BV1gY4y1t7FA?from=search&seid=5863496999586041683,2022-05-13,哈奔儿一个,https://i2.hdslb.com/bfs/archive/51b944662a817c813532a55e705a705cb091f494.jpg@400w_250h_1c.webp,1.6万
【金泰梨】哈哈哈哈 一直在偷吃马卡龙的泰梨,https://www.bilibili.com/video/BV1YS4y1879f?from=search&seid=5863496999586041683,2022-05-03,哈奔儿一个,https://i1.hdslb.com/bfs/archive/d012c3b832ea12acc3ca62b7581a7a246b0d456a.jpg@400w_250h_1c.webp,2.4万
【南柱赫×金泰梨】论演员的专业素养,https://www.bilibili.com/video/BV1MA4y197H3?from=search&seid=5863496999586041683,2022-04-08,iman_u,https://i0.hdslb.com/bfs/archive/8f8f519bbd49a6fda14cad1e493544aef7c3c938.jpg@400w_250h_1c.webp,18.9万
眼睛完全黏在姐姐身上，公开表白无数次！你喜欢姐姐这件事，全世界都知道了哈哈哈！【小姐｜金泰梨x金敏喜】,https://www.bilibili.com/video/BV1VU4y1o7P8?from=search&seid=5863496999586041683,2022-03-05,追剧上头的亚里士缺德,https://i2.hdslb.com/bfs/archive/eeed393a8a6b42b8e968746e16dd551ab152833e.jpg@400w_250h_1c.webp,46.4万
【金泰梨 | 梨花殿中字】210114 “宅家篇”直播中字,https://www.bilibili.com/video/BV1Ny4y1J7Dd?from=search&seid=5863496999586041683,2021-02-14,梨花殿-金泰梨园,https://i0.hdslb.com/bfs/archive/83cd133d53bcdda259b946faacd776d5139897aa.jpg@400w_250h_1c.webp,3.5万
[阳光先生]金泰梨回答金智媛的提问，休息时间做什么？,https://www.bilibili.com/video/BV1wY411j72v?from=search&seid=5863496999586041683,2022-04-12,贝壳攒够一百就蟹蟹,https://i1.hdslb.com/bfs/archive/39230f07d1cece6db5faa067a2b2cc696d77b5ff.jpg@400w_250h_1c.webp,1.3万
金泰梨自驾游vlog合集（4天）,https://www.bilibili.com/video/BV1YA4y1f7yY?from=search&seid=5863496999586041683,2022-05-12,嗑糖少女000,https://i1.hdslb.com/bfs/archive/33f26ac3a8fd2acf35ab5ce02905b51a0612ac4f.jpg@400w_250h_1c.webp,8.6万
